imdb_id,name
nm0457186,Ladislao Kish
nm0074284,Martin Berger
nm0263810,Nicolas Evreinoff
nm0094801,Mario Bonnard
nm0684659,Giuseppe Pinto
nm0717126,Max Reichmann
nm0320488,Adriano Giovannetti
nm1156070,Umberto Paradisi
nm0070374,Edoardo Bencivenga
nm0245213,Julien Duvivier
nm0856250,Richard Teschner
nm0418131,Victor Janson
nm0761244,A.W. Sandberg
nm0959178,Miguel de Zárraga
nm0952737,Luigi Zampa
nm0951508,Gino Zaccaria
nm0579574,Romano Mengon
nm1002138,Gian Orlando Vassallo
nm0730743,Roberto Roberti
nm0626885,Max Neufeld
