film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
The Two Brides,1919,USA,nm0430968,February,1919,USA,Famous Players-Lasky Corporation,"nm0146796, nm0285202, nm0303823, nm0717281, nm0877773, nm0724253, nm0792175, nm0586903, nm0736216",tt0010811
La collana della felicità,1916,Italy,nm0133153,January,1916,Italy,Società Anonima Ambrosio,"nm0133153, nm0138479, nm0538729",tt0965595
Montecarlo,1928,"Italy, France",nm0620587,,,,,nm0078116,tt0188066
La scimitarra di Barbarossa,1921,Italy,nm0181102,January,1921,Italy,Tespi Film,"nm1531074, nm1531100, nm0094529, nm1291441, nm2498853, nm2500519, nm0587801, nm0597899, nm1533948, nm2494134, nm0872369, nm1267258, nm0899262",tt0202575
Cento lettere d'amore,1940,Italy,nm0626885,September,1940,Italy,Industria Cinematografica Italiana (INCINE),"nm0266031, nm0320221, nm0691728, nm0553335, nm0379273, nm0082248, nm0414294, nm0194923, nm0187642, nm0195830, nm0678099, nm0230485, nm0599671, nm1428252, nm0425690, nm0898829, nm0021930, nm0244599, nm0637709",tt0032320
Il bacio di Cirano,1913,Italy,nm0303120,,1921,Japan,D'Ambra Film,"nm1295663, nm0303122, nm0131042, nm1299620, nm0596837, nm1301680, nm1301779, nm0872369",tt0278961
Tragica missione,1915,Italy,nm0333309,June,1915,Italy,Milano Film,"nm0109266, nm0333309, nm0658055",tt1081015
Quello che non muore,1926,Italy,nm0209741,February,1926,Italy,De Liguoro Film,"nm0144663, nm0209739, nm0209740, nm0448656, nm0847790",tt0196891
Un amore di Pietro de' Medici,1912,Italy,nm1057323,May,1912,Italy,Film d'Arte Italiana,"nm1011921, nm0078116, nm0135055",tt0296506
Il romanzo di un giovane povero,1920,Italy,nm0657535,October,1920,Italy,Rinascimento Film,"nm0785802, nm0579618, nm0211424, nm0304211, nm0682204, nm2448388",tt0200057
Gerusalemme liberata,1911,Italy,nm0345500,May,1911,Italy,Società Italiana Cines,"nm0637019, nm0855870, nm0146335, nm0315780, nm0624446, nm0597279, nm1014493, nm0021935, nm0070962",tt0175659
Il documento,1939,Italy,nm0131460,November,1939,Italy,Società Esercizi Cinema e Teatro (SECET),"nm0749431, nm0266031, nm0219166, nm0195208, nm0608314, nm0103854, nm0021929, nm0109266, nm0302958, nm0303416, nm0304860, nm0311165, nm0682595",tt0030064
