film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
La fine di un vile,1918,Italy,nm0312866,December,1918,Italy,Itala Film,"nm0414294, nm0144302, nm0744105, nm0448656, nm1297946, nm0082101, nm0187642",tt0191332
La serpe,1920,Italy,nm0730743,January,1920,Italy,Caesar Film,"nm0078116, nm0080672, nm0162244, nm1292135, nm1293560, nm1287900, nm0759474",tt1065500
Sua cognata,1913,Italy,nm0345500,March,1913,Spain,Società Italiana Cines,"nm0137706, nm2549049, nm0350524, nm0557831, nm0855870",tt0209376
Ironie della vita,1917,Italy,nm0739971,August,1917,Italy,Gladiator Film,"nm0021935, nm0743102, nm0264693, nm0155079",tt0193243
Quando la primavera ritorno,1916,Italy,nm0407846,May,1916,Italy,Società Italiana Cines,"nm0144302, nm0161750, nm0302942, nm0414294",tt1041832
Liebeskarneval,1928,Germany,nm0312866,February,1929,Denmark,Nero-Film AG,"nm0094529, nm0432721, nm0257406, nm0872465, nm1260689, nm0686783, nm0819017, nm0082297, nm0082101, nm0331796",tt0446153
Tormento gentile,1916,Italy,nm0315780,October,1916,Italy,Tiber-film,"nm1296632, nm0195176, nm0315780, nm0414293",tt0211048
La passaggera,1918,Italy,nm0952610,February,1918,Italy,Itala Film,"nm0448656, nm0579618, nm0596837, nm0626131",tt0963325
Cesare Borgia,1912,Italy,nm0516263,August,1912,Italy,"Film d'Arte Italiana, Pathé Frères","nm0078116, nm0414294, nm1011921, nm1301712, nm0744105",tt1041704
Una notte a Calcutta,1918,Italy,nm0143333,February,1918,Italy,Società Italiana Cines,"nm0096330, nm0135421, nm0626131, nm0667546, nm1301996",tt0169801
Voluttà di morte,1917,Italy,nm0211634,April,1917,Italy,Gladiator Film,"nm0021935, nm0124744, nm0142821, nm0679170, nm0867930",tt0965542
Sulla falsa strada,1913,Italy,,,1913,Italy,Savoia Film,"nm1291873, nm0414294, nm0518359, nm0537818",tt0965683
L'enfant de l'amour,1916,Italy,nm0315780,September,1916,Italy,Tiber-film,"nm1910683, nm1296632, nm0172822, nm0195176, nm1287181, nm0315780, nm0414293",tt1041726
La terra promessa,1913,Italy,nm0624511,June,1913,Italy,Celio Film,"nm0078116, nm0172822, nm0315780",tt0210351
Folchetto di Narbona,1910,Italy,nm0266080,,1910,Italy,Film d'Arte Italiana,"nm0078116, nm1883879, nm1301183, nm1301949",tt1065430
Biblioteca di Studio Uno,1964,Italy,,,1964,,RAI Radiotelevisione Italiana,"nm1029671, nm1031101, nm1032516, nm1028639, nm0818824, nm0781334, nm0147109, nm0881746, nm0807564, nm0133174, nm0269467, nm0104224, nm0132135, nm0243842, nm0561252, nm0597704, nm0264776, nm0666842, nm0694096, nm0526958, nm0076836, nm0711031, nm0957866, nm0094393, nm0095245, nm0109266, nm0116282, nm0148974, nm0274120, nm0556389, nm0130019, nm0133949, nm0200861, nm0527379, nm0650753, nm0897585, nm0901763, nm0157067, nm0188311, nm1017837, nm0659461, nm0686217, nm0031355, nm0162230, nm0174627, nm0803132, nm0691728, nm0895715, nm0195895, nm0277276, nm0308523, nm0457839, nm0612568, nm0636593, nm0895766, nm0901683, nm0013789, nm0034816, nm0317624, nm0812172, nm0885339, nm0173909, nm1213365, nm0526031, nm0876121, nm0957535, nm0080676, nm0139214, nm0450326, nm0590268, nm0632425, nm0712284, nm0207099, nm0276433, nm0450300, nm0523791, nm1269352, nm0658425, nm0883574, nm1270497, nm3875526, nm0278562, nm0518041, nm0553894, nm0688770, nm0846583, nm0891492, nm0034257, nm0059012, nm0082419, nm0233946, nm0535487, nm0744484, nm0563561, nm0589828, nm0307451, nm0590732, nm0673740, nm0767410, nm0527784, nm0606102, nm0176328, nm1284931, nm0217377, nm0314429, nm0659333, nm0194934, nm1280957, nm0768922, nm0575299, nm0812163, nm0097840, nm0689060, nm1279130, nm0876947, nm0233604, nm0873731, nm9505645, nm0106387",tt5567202
Il veleno delle parole,1913,Italy,nm0624511,June,1913,Italy,Celio Film,"nm0078116, nm0172822, nm0557831, nm0800562",tt0215314
L'arrivista,1913,Italy,nm0624511,,,,Celio Film,nm0078116,tt0263067
La via dolorosa,1915,Italy,nm0957995,March,1915,Italy,Milano Film,"nm1298942, nm0212191, nm0381428",tt1063664
Frühlingsfluten,1924,Germany,nm0539607,November,1924,Germany,"Caesar Film, Charitonoff","nm0439188, nm0750294, nm1773076, nm0251432, nm0905876, nm2068735, nm0956516, nm0655063, nm0783834, nm0362501",tt0484204
Cajus Julius Caesar,1914,Italy,nm0345500,November,1914,Italy,Società Italiana Cines,"nm0637019, nm0144663, nm1550622, nm0526921, nm0557831, nm1553082, nm0855870, nm0649959, nm1523273, nm0579618, nm0723236",tt0004022
La morta del lago,1915,Italy,nm0345500,January,1915,Italy,Società Italiana Cines,"nm0056080, nm1271564, nm0350524, nm0579618",tt0963314
Da boxeur a detective,1916,Italy,nm0133153,January,1916,Italy,Società Anonima Ambrosio,"nm0032106, nm0124744, nm0133153, nm0538729, nm0702893",tt0949378
L'amicizia di Polo,1913,Italy,nm0743102,,1913,Italy,Savoia Film,"nm0414294, nm0743102",tt1041686
Tristano e Isolda,1911,Italy,nm0266080,October,1911,Spain,"Film d'Arte Italiana, Pathé Frères","nm0078116, nm0520861, nm1293649, nm1011921",tt0211683
Malìa,1917,Italy,nm0207107,January,1919,Portugal,Caesar Film,"nm0016688, nm0078116, nm0448656, nm1293658, nm1032488, nm0819010",tt0183479
La zingara,1912,Italy,nm0131293,November,1912,Italy,Savoia Film,"nm1333550, nm2671845, nm0414294",tt1041882
Chimere,1920,Italy,nm0624511,March,1920,Italy,Tiber-film,"nm1291904, nm0381428, nm0663286, nm0667546, nm1294250, nm0684960",tt1063602
La dama di picche,1913,Italy,nm0624511,,1913,Italy,Società Italiana Cines,"nm0381428, nm0350524, nm0526921, nm1131937, nm0172822",tt1045060
L'eredità di Caino,1921,Italy,nm0900017,January,1921,Italy,Società Italiana Cines,"nm0076464, nm0135635, nm0224303, nm2500724, nm0277765, nm1216547, nm0537818, nm0682204, nm0762718, nm0855870, nm1146438, nm1218250",tt0171275
Vizio atavico,1914,Italy,nm0624511,November,1914,Italy,Milano Film,"nm0109266, nm1298942, nm0381428, nm2710093, nm0667546, nm0785802",tt1063666
Zoya,1920,Italy,nm0030748,March,1920,Italy,Tiber-film,"nm0137706, nm0144302, nm0352120, nm0439188, nm0663286",tt1064830
A Woman of Impulse,1918,USA,nm0430968,October,1918,USA,Famous Players-Lasky Corporation,"nm0146796, nm0732651, nm0089266, nm0128954, nm0359715, nm0116050, nm0882735, nm0613623, nm0052151",tt0009834
Il cavalier Petagna,1926,Italy,nm1290518,June,1926,Italy,Cinès-Pittaluga,"nm0303122, nm1916496, nm0953131, nm0784988",tt1047596
L'emigrata,1918,Italy,nm0312866,,,,Itala Film,nm0414294,tt0171266
La fanciulla di Capri,1914,Italy,nm0407846,July,1914,Italy,Celio Film,"nm0137706, nm0350524, nm0352120, nm2680941, nm1294238",tt1045085
Amore di donna,1920,Italy,nm0730743,,,,,nm0078116,tt0247922
Per il blasone,1913,Italy,nm0624511,February,1913,Italy,Società Italiana Cines,"nm0078116, nm0172822, nm0315780",tt0193406
Lucrezia Borgia,1910,Italy,nm0143333,December,1910,Spain,Società Italiana Cines,"nm0078116, nm0143332, nm0414294",tt0183433
Lucciola,1917,Italy,nm0312866,March,1917,Italy,Società Anonima Ambrosio,"nm0082101, nm1216023, nm1271843, nm0538729, nm0624446, nm1272920, nm1249035, nm0757369, nm0768865, nm0856386, nm1273427",tt0183429
La peccatrice senza peccato,1922,Italy,nm0312866,December,1922,Italy,Genina Film,"nm0076131, nm0078261, nm0187642, nm0303122, nm0406390, nm0771160",tt0193392
L'amazzone mascherata,1914,Italy,nm0624511,February,1914,Italy,Celio Film,"nm0078116, nm0172822, nm0315780, nm0350524, nm1132786",tt0244967
L'ultimo dei Bergerac,1934,Italy,nm0726729,,,,Faro Film,"nm1550637, nm0266032, nm0021935, nm0667546, nm0315984, nm0177815, nm0148132, nm0826601, nm1549379, nm0538080, nm0585936, nm0746296, nm0854661, nm1253447, nm1547876, nm0142765, nm0154804, nm0182414, nm0184468, nm0195830, nm0223997, nm0244596, nm0304864, nm1550508",tt0025930
Maciste e il nipote d'America,1924,Italy,nm0734958,March,1924,Italy,"Fert Film, Societa Anonima Stefano Pittaluga","nm0656034, nm0414293, nm0172822, nm0051737, nm0082101, nm0109266, nm0688787",tt0015102
Il banchiere,1913,Italy,,May,1913,France,Società Italiana Cines,"nm0137706, nm2269238, nm0557831, nm0579618",tt0806929
L'ombra,1920,Italy,nm0730743,July,1920,Italy,Caesar Film,"nm0078116, nm0080697, nm0143332, nm1292202, nm0637019, nm0741163, nm0785378",tt0190596
La maschera del male,1922,Italy,nm0021933,May,1922,Italy,Fert Film,"nm0021935, nm0082101, nm0172822, nm0448656, nm0487727, nm1252987, nm0757369",tt0347509
Il segreto del morto,1922,Italy,nm0096705,April,1922,Italy,Rodolfifilm,"nm0017614, nm1027834, nm0109266, nm0162321, nm0693529, nm0757369, nm0899597, nm1295392",tt1067232
Marcella,1921,Italy,nm0303120,February,1921,Italy,Celio Film,"nm0070962, nm0078161, nm0303122, nm1035410, nm0626131, nm1294238, nm1301765, nm0899262",tt0184704
La dote del burattinaio,1914,Italy,nm0624511,August,1914,Italy,Milano Film,"nm0109266, nm2709059, nm0785802, nm1298942, nm2708364, nm0212191, nm1533331",tt1080924
Pantera,1912,Italy,,,1912,Italy,Savoia Film,"nm1292464, nm0414294, nm0518359",tt1041815
The Righted Wrong,1915,Italy,nm0624511,August,1915,USA,Milano Film,nm0381428,tt1464322
"Animated Weekly, No. 42",1916,USA,,October,1916,USA,Universal Film Manufacturing Company,"nm0076800, nm0146796, nm0313957, nm0605118, nm5040210, nm0902652, nm0934306",tt4182674
Luisa Sanfelice,1942,Italy,nm0578736,September,1942,Italy,Alleanza Cinematografica Italiana (A.C.I.),"nm0812726, nm0784857, nm0884134, nm0632426, nm0785919, nm0138602, nm0232371, nm0585936, nm1410858, nm0674573, nm0685066, nm0267249, nm0538080, nm0079246, nm0209740, nm0335961, nm0647206, nm0667611, nm0134993, nm0187642, nm1505360, nm1714649, nm0383819, nm0651334, nm0890122, nm1578009, nm1406008, nm1715431, nm1416118, nm1714657, nm4702344, nm1714986, nm0759372",tt0035000
Tragico convegno,1915,Italy,nm0407846,March,1915,Italy,Celio Film,"nm1291238, nm0302942, nm0407846, nm0414294, nm1294238",tt1041866
L'inferriata della morte,1920,Italy,,March,1920,Italy,Manzini Film,"nm0021935, nm2217436, nm1532578",tt0965499
Il figlio di Coralie,1921,Italy,nm0070374,April,1921,Italy,Chimera Film,"nm0131206, nm1268134, nm1145349, nm1293562, nm0762718",tt0928039
Orgoglio,1938,Italy,nm0255766,September,1938,Italy,Società Anonima Lombarda Industrie Cinematografiche (SALIC),"nm0315984, nm0053224, nm0274102, nm0538080, nm0381428, nm0278500, nm0078643, nm0244596, nm0314314",tt0030530
L'ultima carta,1913,Italy,nm0624511,,,,,"nm0078116, nm0315780",tt0214218
Mezzanotte,1915,Italy,nm0312866,March,1915,Italy,Milano Film,"nm0109266, nm1298942, nm0333309, nm0667546, nm0757369, nm0785802",tt0186352
Fatale bellezza,1922,Italy,nm0712304,November,1922,Italy,Caesar Film,"nm0078116, nm0078261, nm1291771, nm1287181, nm0518359, nm0526266, nm1293560, nm0688230",tt1065423
Quando la donna vuole...,1912,Italy,,September,1912,Italy,Società Italiana Cines,"nm0381428, nm0526921",tt1027142
Don Pietro Caruso,1915,Italy,nm0315780,,1915,Italy,Caesar Film,"nm0315780, nm0078116, nm0172822",tt0169780
Scuola d'eroi,1914,Italy,nm0345500,February,1914,Italy,Società Italiana Cines,"nm0637019, nm0855870, nm0146335, nm0579618, nm0538080, nm1521286, nm0137706, nm0537818",tt0203091
La studentessa,1920,Italy,nm2522802,August,1920,Italy,Tespi Film,"nm0131042, nm0439188",tt1065510
Tocca prima a Teresa,1923,Italy,nm2669873,July,1923,Italy,Selecta-Toddi,"nm0414293, nm0682595",tt1041861
L'ombre du péché,1923,France,nm0698839,January,1923,France,"Diana Karenne, Visions d'Art","nm0885965, nm0439188, nm0216087, nm0336414, nm2512468, nm0231256, nm2531399, nm0092852",tt0014329
L'ospite sconosciuta,1923,Italy,nm1302092,April,1923,Italy,Rinascimento Film,"nm1902416, nm1916496, nm1283689, nm0579618, nm0663286",tt0963322
Il processo Clémenceau,1917,Italy,nm0207107,September,1917,Spain,Caesar Film,"nm0078116, nm0162490, nm0189970, nm0207107, nm0001120, nm0448656, nm0598712, nm0784988",tt0193434
La morte civile,1910,Italy,nm0516263,November,1910,Italy,"Film d'Arte Italiana, Pathé Frères","nm0637025, nm0304862, nm0078116, nm0156990, nm0316269, nm2713451",tt1065465
La bella corsara,1928,Italy,nm0209741,August,1928,Italy,I.C.S.A.,"nm0209740, nm0144663, nm1301196",tt0312448
"Ivonne, la bella danzatrice",1915,Italy,nm0784988,September,1915,Spain,Caesar Film,"nm0016688, nm0070959, nm0078116, nm0784988",tt0455131
Fedora,1916,Italy,"nm0209738, nm0784988",December,1916,Italy,Caesar Film,"nm0070959, nm0070962, nm0078116, nm0080672, nm0207107, nm0209738, nm1290422, nm0784988",tt0172436
La maestrina,1913,Italy,nm0624511,July,1913,France,Celio Film,"nm0078116, nm0172822, nm0208352, nm0315780",tt0183462
La marcia nuziale,1915,Italy,nm0303120,February,1916,Spain,Società Italiana Cines,"nm0096330, nm1216023, nm0135304, nm0302942, nm0350524, nm0637019",tt0184705
Ananke,1915,Italy,nm0654581,November,1915,Italy,Celio Film,"nm0302942, nm0350524, nm0414293, nm0414294, nm1266871",tt1041687
Madre,1917,Italy,nm0303120,January,1917,Italy,Cosmopoli Film,"nm0303122, nm2677807, nm0682530",tt1047643
L'avvoltoio,1913,Italy,nm0315780,,,,Società Italiana Cines,"nm0078116, nm0315780",tt0278953
Triboulet,1923,Italy,nm0546917,December,1923,Italy,Società Italiana Cines,"nm0144313, nm0345223, nm0537818, nm0546917, nm0579615, nm0719118, nm0762718, nm0771160, nm1437917, nm0899262, nm1218250, nm1295663",tt0211680
La femme d'une nuit,1930,France,nm0478303,June,1930,France,Les Établissements Braunberger-Richebé,"nm0078116, nm0613576, nm0208314, nm0257262, nm0874575, nm0037625, nm1294840, nm0433332, nm1293383, nm0621487, nm0314967, nm0764916, nm0479742",tt0207466
Die vom Zirkus,1922,Germany,nm0434934,,,,William Kahn-Film GmbH,"nm0073318, nm0443483, nm0903235, nm0121112, nm0216031, nm1458446, nm0361880, nm0389364, nm0538729, nm0548707, nm0670271, nm0686035, nm1335892, nm1460381",tt0138400
Disperato abbandono,1913,Italy,,,1913,Italy,Itala Film,"nm0021935, nm0544490, nm0076131, nm0142822",tt0965475
Perché no?,1930,USA,nm0657535,November,1930,Italy,Paramount Pictures,"nm0414294, nm0667546, nm0082101, nm1984205, nm0629270, nm1994855, nm1991769, nm0889246, nm1986058, nm1992057, nm0284721, nm1146178",tt0211567
Le tre illusioni,1921,Italy,nm0673035,May,1921,Italy,Rinascimento Film,"nm1216023, nm1883759, nm0579618, nm1880063",tt0963350
Quarantäne,1923,Germany,nm0533048,November,1923,Germany,Internationale Film AG (IFA),"nm0504811, nm0538729, nm0626520, nm0547998, nm0499000, nm0308460, nm1833079, nm0441193, nm0772578, nm0774702, nm1430158, nm1867585, nm0021708, nm0313447",tt0014387
La preda,1921,"France, Italy",nm0957995,July,1921,Italy,Fert Film,"nm0414294, nm0637019, nm0144302, nm0094529, nm0137706, nm1534154, nm0448656, nm0899528",tt0195171
Ninna nanna,1914,Italy,nm0957995,July,1914,Italy,Società Italiana Cines,"nm0137706, nm0579618, nm0632423, nm1295384",tt0963317
Per amore di Jenny,1915,Italy,nm0654581,January,1915,Italy,Società Italiana Cines,"nm0579618, nm0626131, nm0637019, nm0682204",tt0425346
Duecento all'ora,1918,Italy,nm0726729,January,1918,Italy,Tiber-film,"nm0137706, nm0172822, nm2668599, nm0347032, nm0352120, nm0414293",tt0169524
Signorinette,1942,Italy,nm0952737,December,1942,Italy,"Artisti Tecnici Associati (ATA), Imperial Film","nm0215744, nm0893032, nm0546910, nm1586535, nm0329746, nm0897650, nm0302815, nm0243894, nm0605628, nm0823042, nm0061453, nm0136823, nm1589000, nm0250564, nm0267585, nm0286307, nm0287524, nm1265856, nm0414294, nm0545644, nm0585936, nm0585970, nm0636530, nm1364765, nm1589389",tt0035333
Il capestro degli Asburgo,1915,Italy,nm0784988,August,1915,Italy,Caesar Film,"nm0070959, nm0078116, nm0137706, nm0172822, nm0352120, nm0784988",tt0159341
Il fascino della violenza,1912,Italy,,September,1912,Spain,Società Italiana Cines,"nm0078116, nm0597279, nm1282749",tt0342394
Il dossier n. 7,1916,Italy,,January,1916,Italy,Società Anonima Ambrosio,"nm0138479, nm0538729",tt0965611
Orient - Die Tochter der Wüste,1924,Germany,nm0726729,March,1925,Finland,Trianon-Film GmbH,"nm0414294, nm0509573, nm0830135, nm0919976, nm0902607, nm0488932, nm0707778, nm1241788, nm1261754, nm0475470",tt0338312
Venti giorni all'ombra,1918,Italy,nm0726729,September,1918,Italy,Tiber-film,"nm0172822, nm0347032, nm0414293, nm0689113",tt0193603
Anima allegra,1919,Italy,nm0730743,August,1919,Italy,Caesar Film,"nm0078116, nm0162244, nm0211424, nm0664703, nm0667546, nm0723161, nm0759474, nm0771160",tt0193719
Maligno riflesso,1916,Italy,nm0784988,,,,,"nm0078116, nm0784988",tt0183481
Cento di questi giorni,1933,Italy,"nm0131455, nm0131460",,,,Società Italiana Cines,"nm0414293, nm0315985, nm0233946, nm0957867, nm0199545, nm0025134, nm0876909, nm0182292, nm0244596, nm0579615",tt0023877
La signorina,1942,Italy,nm0457186,September,1942,Italy,Sabaudia Film,"nm0520553, nm0078728, nm0637713, nm0814773, nm0323022, nm0832375, nm1579703, nm0208177, nm0215345, nm1505360, nm1579782, nm0414294, nm0425690, nm0545528, nm0546222, nm0608314, nm1465358, nm0816497, nm0890122",tt0035331
I misteri del castello di Monroe,1914,Italy,nm0312866,July,1914,Italy,Società Italiana Cines,"nm0144663, nm0526921, nm0579618, nm0785802, nm0874482, nm1303306",tt0203099
I quattro di Bir El Gobi,1942,Italy,nm1481994,,,,Fono Roma,"nm0037704, nm0070955, nm0312633, nm0313065, nm0414294, nm0577488, nm0616027, nm0812765",tt0385972
Passione tsigana,1916,Italy,,January,1916,Italy,Pasquali e C.,"nm0162321, nm0439188",tt1636560
Nel nido straniero,1914,Italy,nm0624511,December,1914,Italy,Milano Film,"nm0381428, nm0667546, nm0333309, nm0131145, nm2454902, nm0335900",tt0903903
Oltre la legge,1923,Italy,nm0712304,June,1923,Portugal,,"nm0078116, nm1267810, nm1291771, nm0209609, nm0345223, nm0526266",tt0190594
Revolutionshochzeit,1928,Germany,nm0761244,December,1928,Finland,Terra-Filmkunst,"nm0414293, nm0252472, nm0068320, nm0727210, nm0466776, nm0376264, nm0066941",tt0277994
Historia del cine: Epoca muda,1983,Spain,nm3458149,,1983,,Editorial Casals,"nm0011063, nm0000858, nm0151606, nm0000122, nm0153713, nm0249379, nm0001196, nm0001316, nm0366586, nm0000036, nm0003377, nm0491048, nm0511729, nm0516001, nm0594291, nm0689444, nm0783865, nm0804434, nm0827509, nm0002154, nm1354245, nm0172903, nm0214243, nm0252472, nm0266029, nm0270415, nm1159058, nm0414294, nm0417837, nm0431069, nm0459030, nm0470328, nm0514027, nm0529313, nm0564219, nm0577922, nm0610620, nm0639563, nm0689869, nm0697602, nm1160085, nm0725332, nm0775180, nm0775659, nm0891998, nm0900063, nm0900299, nm0903145, nm0917467",tt1439230
La casa di nessuno,1915,Italy,nm0345500,June,1915,Italy,Società Italiana Cines,"nm0056080, nm0579618, nm0684960",tt0963280
Fior di levante,1925,Italy,nm0730743,August,1925,Italy,Bertini Film,"nm0078116, nm1267810, nm1293560, nm0557831, nm0899262",tt1065428
Una pagina d'amore,1923,Italy,nm1302092,October,1923,Italy,Rinascimento Film,"nm2546120, nm0579618, nm0667546",tt0963323
La piccola fonte,1917,Italy,nm0730743,April,1917,Italy,Caesar Film,"nm0070962, nm0078116, nm0207107, nm0632423, nm0648859",tt0194238
La scuola del cinema,1942,Italy,nm0148486,,1942,Italy,Istituto Luce,"nm0655816, nm0244602, nm0289983, nm0414294, nm0234581, nm0616027, nm0535953, nm0033982, nm0953447, nm0889658, nm0070955, nm0723168, nm0066745, nm0885098, nm0188096, nm0663247, nm1367051, nm0046785, nm0215744, nm0869224, nm0544155, nm0154804, nm2059795",tt7995630
Il sogno d'amore,1922,Italy,nm0726729,November,1922,Italy,Fert Film,"nm0021935, nm0082101, nm1250994, nm0172822, nm0352120, nm0487727, nm0682544",tt0345942
La donna è come l'ombra,1913,Italy,nm0030748,,1913,Italy,Società Italiana Cines,"nm0381428, nm0526921, nm0637019, nm0538080",tt1063610
Sleima,1919,Italy,nm0439188,February,1919,Italy,"Diana Karenne, Tespi Film","nm0439188, nm0658551, nm0664698",tt0903988
Addio giovinezza!,1927,Italy,nm0312866,February,1928,Portugal,Genina Film,"nm0805790, nm0762718, nm0051737, nm0058620, nm0094529, nm0160711, nm0168093, nm1298899, nm0208352, nm1301949",tt0167756
La madre,1913,Italy,nm0624511,,1913,Italy,Società Italiana Cines,"nm0172822, nm0350524, nm0381428",tt1045161
La vie d'une femme,1920,Italy,nm0303120,,1920,Italy,Cosmopoli Film,nm0303122,tt1047702
La pecorella,1920,Italy,nm0889400,March,1920,Italy,Nova Film,"nm0094529, nm0526921, nm0543484, nm1301289, nm0624446",tt1080967
Sterbende Völker - 1. Heimat in Not,1922,Germany,nm1720536,November,1922,Germany,Monumental-Film-Werke Berlin,"nm1758727, nm1759962, nm1763326, nm0250790, nm0311413, nm1760152, nm1763526, nm0466776, nm1760241, nm0478151, nm0499000, nm0538729, nm1760332, nm0626520, nm0664257, nm0723801, nm0723802, nm0784988, nm0785802, nm1576164, nm0880619, nm0917467, nm0923377, nm1488840",tt0427897
Il salto del lupo,1913,Italy,nm0554245,January,1913,Italy,Società Italiana Cines,nm0579618,tt0978368
La casa dei pulcini,1924,Italy,nm0131460,September,1924,Italy,Societa Anonima Stefano Pittaluga,"nm0414293, nm0637019, nm0757369, nm0109263, nm0693529, nm0195712, nm0076131, nm0591622",tt0161383
Il re Burlone,1936,Italy,nm0345500,March,1936,USA,"Capitani-Icar, Produzione Capitani Film","nm0272670, nm0266031, nm0093770, nm2180681, nm0162322, nm0182292, nm0187642, nm0188133, nm0195830, nm0219166, nm0230986, nm0244596, nm0244599, nm0246578, nm0259599, nm0261180, nm0274077, nm0303416, nm0304989, nm0335694, nm0487137, nm0516619, nm0538080, nm0539174, nm1550637, nm0577010, nm0660018, nm0667611, nm1403175, nm0676131, nm0685609, nm0738856, nm0738871, nm0743966, nm2177291, nm0762718, nm1320049, nm0784988, nm0832375, nm0899262, nm0957867, nm2178858",tt0026913
"Oltre la vita, oltre la morte",1916,Italy,nm0664700,July,1916,Italy,Pasquali e C.,"nm0135421, nm0439188",tt0407081
Passion tzigane,1918,France,nm1156070,,,,,"nm0021935, nm0139215, nm0162322, nm0439188",tt0345775
Il romanzo di Maud,1917,Italy,nm0439188,April,1917,Italy,Società Anonima Ambrosio,"nm1216023, nm0135421, nm0439188",tt0903962
Nel gorgo della vita,1916,Italy,nm0209738,,,,,nm0078116,tt0188096
Jolly,1923,Italy,nm0131460,September,1923,Italy,Augusto Genina,"nm0076131, nm0414293, nm0899528",tt0181614
Il principe Zilah,1919,Italy,nm0211634,October,1920,Portugal,Gladiator Film,"nm0109263, nm0231876, nm0538729, nm0693529, nm0872195",tt0203801
La legge,1919,Italy,,,,,Bertini Film,nm0078116,tt0182271
In faccia al destino,1913,Italy,nm0624511,January,1913,Spain,Celio Film,"nm0078116, nm0315780",tt0179234
Il velo della colpa,1923,Italy,nm0624511,October,1923,Italy,Produzione Superfilm Italiani,"nm0381428, nm0352120, nm0769330, nm0744108",tt0822044
A San Francisco,1915,Italy,nm0784988,December,1915,Italy,Caesar Film,"nm0070959, nm0109266, nm0211158, nm0784988, nm2455863",tt1080884
Der Adjutant des Zaren,1929,Germany,nm0834496,January,1929,Hungary,Greenbaum-Film,"nm0610620, nm0094529, nm0121112, nm0785303, nm0016641, nm0231241, nm0689798, nm0334603",tt0019624
Il mio amante,1920,Italy,nm0021933,December,1920,Italy,Rodolfifilm,"nm1027834, nm1291239, nm0109266, nm0162321, nm2489934, nm0734958",tt1082047
Demonietto,1917,Italy,nm0726729,July,1917,Italy,Tiber-film,"nm0144302, nm0172822, nm0414293, nm0553335",tt0167885
Avatar,1916,Italy,nm0303120,March,1916,Italy,Società Italiana Cines,"nm0303122, nm0352120, nm0557831, nm0637019",tt0278325
Passano gli Unni...,1916,Italy,nm0143333,March,1916,Italy,"Caserini Film, Films Manipulation Agency","nm0094801, nm0143332, nm0264693, nm0350524, nm0743102",tt0006360
Sul sentiero della vipera,1912,Italy,nm2486447,,1912,Italy,Savoia Film,"nm0021935, nm1333550, nm0739971",tt0965535
Il trovatore,1910,Italy,nm0309163,,1910,Italy,Film d'Arte Italiana,"nm0078116, nm2711208, nm2708567, nm1218250",tt1065518
Scrollina,1920,Italy,nm0952610,October,1920,Italy,Lombardo Film,"nm0350524, nm0626131, nm0952610, nm0487727, nm1914558, nm0135635",tt0458099
Un cuore nel mondo,1920,Italy,nm0657535,May,1920,Italy,Lombardo Film,"nm0350524, nm0195221, nm0526921, nm1253992, nm0215956",tt0456361
Moderne Ehen,1924,"Germany, Czechoslovakia",nm0653250,December,1924,Germany,"Filmindustrie, Welt-Film, Munic","nm1659135, nm0538729, nm0821504, nm0289799, nm0034665, nm0466776, nm1274101, nm0039489, nm0226189, nm0785762, nm0555517, nm0685550, nm0438946, nm0420695, nm2739367, nm1055358, nm1798245, nm2755090, nm1060598",tt0165823
La danza del fuoco,1943,Italy,nm0800547,April,1943,Italy,"Industrie Nazionali Associate Cinematografiche (I.N.A.C.), Schermi del Mondo","nm0053224, nm0226158, nm0066745, nm0414294, nm0798570, nm0591122, nm0180663, nm0616027, nm0313065, nm0490404, nm0055364, nm0233614, nm0019124, nm0107783, nm0215345, nm0237411, nm0425690, nm0538080, nm0591593, nm0622799, nm1717632, nm0721557, nm0723168, nm0756792, nm0890122",tt0034635
Maddalena Ferat,1920,Italy,"nm0546917, nm0730743",December,1920,Italy,"Bertini Film, Caesar Film","nm0078116, nm1267810, nm1287032, nm0321500, nm0663286, nm0682595, nm1252987, nm1146560",tt0183457
Rinunzia,1914,Italy,nm0303120,,1914,Italy,Società Italiana Cines,"nm0096330, nm0303122, nm0304211, nm0579618, nm0681441, nm0684960",tt0963330
La gola,1918,Italy,nm0211158,June,1918,Italy,Caesar Film,"nm0078116, nm0667546, nm0211158, nm0016688",tt0178513
Un dramma a Firenze,1912,Italy,nm0266080,January,1912,Spain,Film d'Arte Italiana,"nm0078116, nm1011921, nm1049615",tt0295218
Tosca,1918,Italy,nm0207107,November,1918,Spain,Caesar Film,"nm0070962, nm0078116, nm0080672, nm0162244, nm0207107, nm0312909, nm0784988",tt0009715
Rosella,1924,Italy,nm1301712,December,1924,Italy,Unione Cinematografica Italiana,"nm0131206, nm0762718, nm0953131",tt0462512
Centocelle,1919,Italy,nm0211634,April,1919,Italy,Gladiator Film,"nm0135493, nm0277372, nm0335908, nm0538729, nm0595772, nm0872195",tt0955233
La duchessa Mistero,1922,Italy,nm0624511,October,1924,Portugal,Superfilms,"nm0138479, nm0312909, nm0381428, nm0448656, nm0688787",tt0821981
Il piccolo contorsionista,1914,Italy,nm0624511,June,1914,Italy,Milano Film,"nm0109266, nm2791903",tt1080971
