film_title,imdb_id,film_year,production_country,director,release_month,release_year,release_location,production_locality,production_company,cast
La pianista di Haynes,tt0463162,1921,Italy,nm0215516,September,1921,Italy,Naples,Lombardo Film,"nm0350524, nm0215516, nm0743102, nm0718580, nm0487727"
Dopo la morte,tt0169785,1913,Italy,nm0030748,September,1913,Italy,Rome,Società Italiana Cines,"nm0381428, nm0596837, nm0526921, nm0350524"
Marcella,tt0184704,1921,Italy,nm0303120,February,1921,Italy,Rome,Celio Film,"nm0070962, nm0078161, nm0303122, nm1035410, nm0626131, nm1294238, nm1301765, nm0899262"
La peccatrice senza peccato,tt0193392,1922,Italy,nm0312866,December,1922,Italy,Rome,Genina Film,"nm0076131, nm0078261, nm0187642, nm0303122, nm0406390, nm0771160"
Sulla via dell'oro,tt1018791,1913,Italy,,July,1913,Italy,Rome,Società Italiana Cines,"nm0637019, nm0381428, nm0526921, nm0321346"
Czerwony blazen,tt0016757,1926,Poland,nm0843636,October,1926,Poland,,Leo-Film,"nm0091042, nm2360363, nm0245931, nm0387253, nm0434209, nm0473084, nm0538729, nm0973468, nm0628643, nm0654525, nm0844359, nm0951385"
Dora la espía,tt0035822,1943,"Italy, Spain",nm0558127,,,,,"Scalera Film S.p.a., Sociedad Anónima de Films Españoles (SAFE)","nm0294393, nm0727311, nm0078116, nm0867891, nm0616343, nm0033475, nm0075170, nm0162242, nm0268072, nm0554726"
Tragico convegno,tt1041866,1915,Italy,nm0407846,March,1915,Italy,Rome,Celio Film,"nm1291238, nm0302942, nm0407846, nm0414294, nm1294238"
Amore bendato,tt0310635,1914,Italy,,January,1914,Italy,Rome,Celio Film,"nm0350524, nm0172822, nm0070962"
La dame en gris,tt0965603,1919,Italy,nm0743102,November,1919,Italy,Turin,Gladiator Film,"nm0009828, nm0264693, nm0335908, nm0538729, nm0743102, nm0872195, nm1295234"
L'agguato,tt1062220,1915,Italy,nm0957995,January,1915,Italy,Milan,Milano Film,"nm0032106, nm0131145, nm0212191, nm0381428, nm0667546"
