film_title,imdb_id,film_year,production_country,director,release_month,release_year,release_location,production_locality,production_company,cast
La fanciulla di Pompei,tt0270356,1925,Italy,nm0030748,November,1925,Italy,Naples,Lombardo Film,"nm0350524, nm0431069, nm0738113"
Le campane di San Lucio,tt1067692,1921,Italy,nm0109264,October,1921,Italy,Turin,Rodolfifilm,"nm1027834, nm0109263, nm0109266, nm0664698, nm0757369, nm0899597"
Amica,tt0192971,1916,Italy,nm0345500,May,1916,Italy,Rome,Società Italiana Cines,"nm0350524, nm0557831, nm0598712, nm0637019, nm0688230"
Tormento,tt1309653,1917,Italy,nm0546917,September,1917,Italy,Turin,Società Anonima Ambrosio,"nm0546917, nm0538729"
Il veleno delle parole,tt0215314,1913,Italy,nm0624511,June,1913,Italy,Rome,Celio Film,"nm0078116, nm0172822, nm0557831, nm0800562"
Il figlio di Madame Sans Gêne,tt1000092,1921,Italy,nm0624511,April,1924,Portugal,Rome,Tiber-film,"nm0381428, nm1267258, nm0769330, nm0688787, nm2615496, nm0211282, nm2609515"
La principessa Bebè,tt0196013,1921,Italy,nm0195076,February,1921,Italy,Rome,D'Ambra Film,"nm1292225, nm1295663, nm1301680, nm1301779, nm1301667, nm1298056, nm1300815, nm0209740, nm1299878, nm1298990, nm1298811, nm1298883"
Pia de' Tolomei,tt0382227,1910,Italy,nm0516263,September,1910,Italy,Rome,"Film d'Arte Italiana, Pathé Frères","nm0078116, nm1291904, nm1301183, nm1292460, nm1049615"
Vertigine,tt1063663,1919,Italy,nm0624511,March,1919,Italy,Rome,Film d'Arte Italiana,"nm0137706, nm0138479, nm0381428, nm0771160"
Nerone,tt0021177,1930,Italy,nm0087704,November,1930,Italy,Rome,Società Italiana Cines,"nm0670979, nm0471326, nm0215823, nm0109266, nm0563462, nm0553335, nm0087704, nm0109265, nm1855812, nm0176184"
Montecarlo,tt0188066,1928,"France, Italy",nm0620587,,,,,,nm0078116
La sfumatura,tt0203125,1913,Italy,nm0030748,May,1913,Italy,Rome,Società Italiana Cines,"nm0381428, nm0596837, nm0350524"
Femmina e madre,tt0172442,1928,Italy,,,,,,,"nm0209740, nm0208566"
Il fiacre n. 13,tt0173822,1917,Italy,"nm0135421, nm0952610",February,1917,Italy,Turin,Società Anonima Ambrosio,"nm0135421, nm0538729, nm0603065, nm0624446, nm0063129, nm0187642, nm1148789, nm0439188, nm0768865"
Marie Antoinette - Das Leben einer Königin,tt0189716,1922,Germany,nm0576901,January,1923,Finland,,"Internationale Film AG (IFA), Meinert Film","nm0439188, nm0718412, nm0561962, nm0366603, nm0777104, nm0389364, nm0254012, nm0251432, nm0510761, nm0121112, nm0435229, nm0775597, nm0774114, nm0885030, nm0313308, nm0345064, nm0681167, nm0226189, nm0070471, nm0530566, nm0459029, nm0821861, nm0643245, nm0264716, nm0511188, nm0366607, nm0867966, nm0059716, nm0681620, nm0910016, nm0913291, nm0045335, nm0626948, nm0016799, nm0902408, nm0771317, nm0056272, nm0286097, nm0019110, nm0513727, nm1816386, nm0750294, nm0871215"
Avatar,tt0278325,1916,Italy,nm0303120,March,1916,Italy,Rome,Società Italiana Cines,"nm0303122, nm0352120, nm0557831, nm0637019"
La bufera,tt0158527,1913,Italy,nm0624511,,,,,Celio Film,"nm0078116, nm0172822, nm1029576, nm0315780, nm1268180"
La posta in guerra,tt1063646,1917,Italy,nm0173774,January,1917,Italy,unknown,Sezione Cinematografica del Regio Esercito,nm0381428
Kiedy kobieta zdradza meza,tt0924236,1924,Poland,"nm0653250, nm0866299",December,1924,Poland,,Warszawskie Biuro Kinematograficzne Feniks,"nm0917537, nm2485745, nm0466776, nm0538729, nm0595356, nm2427580, nm0785762"
Frühlingsfluten,tt0484204,1924,Germany,nm0539607,November,1924,Germany,,"Caesar Film, Charitonoff","nm0439188, nm0750294, nm1773076, nm0251432, nm0905876, nm2068735, nm0956516, nm0655063, nm0783834, nm0362501"
La dea del mare,tt0000587,1907,Italy,,,,,,,nm0078116
Una pagina d'amore,tt0963323,1923,Italy,nm1302092,October,1923,Italy,Rome,Rinascimento Film,"nm2546120, nm0579618, nm0667546"
La pantomima della morte,tt0215030,1915,Italy,nm0143333,December,1915,Italy,Turin,Caserini Film,"nm0094801, nm0143332, nm0264693, nm0350524, nm0743102"
Le mani ignote,tt0963310,1913,Italy,nm1349381,,1913,Italy,Rome,Società Italiana Cines,"nm0321346, nm0526921, nm0579618, nm0779393"
Ma l'amor mio non muore...,tt0003102,1914,Italy,nm0143333,January,1914,USA,Turin,Film Artistica Gloria,"nm0096330, nm0094801, nm0743102, nm0744105, nm0135493, nm0143332, nm0211158, nm0676131, nm0599973, nm0702893, nm0582500, nm0591873"
La madre folle,tt1047644,1923,Italy,nm0303120,May,1923,Italy,Rome,Films Gallone,"nm0282186, nm2679718, nm2680368, nm0303122, nm0448656, nm0598712, nm0682595, nm1253011, nm0887830"
Un intrigo a corte,tt1031602,1913,Italy,nm0030748,March,1913,Italy,Rome,Società Italiana Cines,"nm0381428, nm0596837, nm0350524, nm1521286, nm0526921"
I due crocefissi,tt0169813,1920,Italy,nm0312866,February,1920,Italy,Turin,Itala Film,"nm0021935, nm1301557, nm0664698, nm0682530"
Chimere,tt1063602,1920,Italy,nm0624511,March,1920,Italy,Rome,Tiber-film,"nm1291904, nm0381428, nm0663286, nm0667546, nm1294250, nm0684960"
Il velo della colpa,tt0822044,1923,Italy,nm0624511,October,1923,Italy,Rome,Superfilm,"nm0381428, nm0352120, nm0769330, nm0744108"
Il sogno d'amore,tt0345942,1922,Italy,nm0726729,November,1922,Italy,"Rome, Turin",Fert Film,"nm0021935, nm0082101, nm1250994, nm0172822, nm0352120, nm0487727, nm0682544"
Il segreto del morto,tt1067232,1922,Italy,nm0096705,April,1922,Italy,Turin,Rodolfifilm,"nm0017614, nm1027834, nm0109266, nm0162321, nm0693529, nm0757369, nm0899597, nm1295392"
Sleima,tt0903988,1919,Italy,nm0439188,February,1919,Italy,Rome,"Diana Karenne, Tespi Film","nm0439188, nm0658551, nm0664698"
La signora dalle rose,tt0903987,1919,Italy,nm0439188,November,1919,Italy,Rome,Tiber-film,"nm0144302, nm0352120, nm0439188, nm0448656, nm0663286"
Per amore di Jenny,tt0425346,1915,Italy,nm0654581,January,1915,Italy,Rome,Società Italiana Cines,"nm0579618, nm0626131, nm0637019, nm0682204"
Gli abitatori delle fogne,tt1041682,1914,Italy,nm1156070,October,1914,Italy,Turin,Pasquali e C.,"nm0139215, nm1523227, nm0414294, nm0784988"
Il capestro degli Asburgo,tt0159341,1915,Italy,nm0784988,August,1915,Italy,Rome,Caesar Film,"nm0070959, nm0078116, nm0137706, nm0172822, nm0352120, nm0784988"
Il fango e le stelle,tt0197453,1921,Italy,nm0563651,July,1921,Italy,"Rome, Turin",Fert Film,"nm0021935, nm0082101, nm0664698, nm0757369"
Liebet das Leben,tt0486850,1924,Germany,,October,1924,Germany,,Münchner Lichtspielkunst AG (Emelka),"nm0301146, nm0350600, nm0538729, nm2085889, nm0774114, nm1488840"
La via della luce,tt1041877,1917,Italy,nm0624511,June,1917,Italy,Rome,Tiber-film,"nm0138479, nm0143332, nm0381428, nm0414293, nm0526921"
Povera Leda...,tt0192465,1914,Italy,nm0303120,July,1914,Italy,Rome,Società Italiana Cines,"nm0224058, nm0350524"
La tutela,tt1045238,1913,Italy,nm0624511,,1913,Italy,Rome,Società Italiana Cines,"nm0161750, nm1004245, nm0350524"
Las delicias del campo,tt0011104,1920,Spain,nm0143333,,,,,Excelsa Films,nm0350524
La storia di un peccato,tt0209361,1918,Italy,nm0303120,April,1918,Italy,Rome,Film D'Eccezione,"nm0303122, nm1035410, nm1300327, nm0658551, nm0663286, nm0872195"
Per la sua gioia,tt0193408,1913,Italy,nm0624511,January,1913,Italy,Rome,Celio Film,"nm0078116, nm0172822, nm0137706, nm1293836"
Il bacio di Cirano,tt0278961,1913,Italy,nm0303120,,1921,Japan,Rome,D'Ambra Film,"nm1295663, nm0303122, nm0131042, nm1299620, nm0596837, nm1301680, nm1301779, nm0872369"
"Diana, l'affascinatrice",tt0167894,1915,Italy,nm0784988,March,1916,Sweden,Rome,Caesar Film,"nm0070959, nm0078116, nm0207107, nm0784988"
Il grido dell'innocenza,tt0963295,1914,Italy,nm0312866,,1914,Italy,Rome,Società Italiana Cines,"nm0321346, nm0579618, nm0632423, nm1295384"
Sole!,tt0270652,1918,Italy,nm0030748,September,1918,Italy,Naples,"Polifilms (Società Anonima Industria Cinematografica, SAIC)","nm1513704, nm0195221, nm0335961, nm0350524, nm0526921"
Cause ed effetti,tt1080902,1917,Italy,nm0333309,October,1917,Italy,Turin,Veritas,"nm0109266, nm2522498, nm0333309, nm0335908, nm2716526, nm2792439, nm1272509, nm0698729"
Stella,tt0929477,1920,Italy,nm0143975,October,1920,Italy,Rome,Chimera Film,"nm0032106, nm1278768, nm1250994, nm1268134, nm1435527, nm0762718, nm0872195"
La maschera dell'amore,tt1041790,1916,Italy,nm0407846,March,1916,Italy,Rome,Celio Film,"nm0321346, nm0414294, nm0637019, nm0681441"
Nel gorgo della vita,tt0188096,1916,Italy,nm0209738,,,,,,nm0078116
Follia,tt1041737,1913,Italy,nm1193022,,1913,Italy,Turin,Savoia Film,"nm0414294, nm0537818, nm0743102"
La zingara,tt1041882,1912,Italy,nm0131293,November,1912,Italy,Turin,Savoia Film,"nm1333550, nm2671845, nm0414294"
